id,app_id,app_name,category,rating,review_text,helpful_votes,total_votes,app_size_mb,price,version,date,user_id,helpful_ratio,is_free,review_length,review_word_count,cleaned_review,sentiment_label,sentiment_score,rating_category,size_category
1,2,App_2,Business,4,This app is love! Really brilliant experience.,3,22,371.6,0,2.1,2024-11-28,1520,0.13636363636363635,1,46,7,this app is love really brilliant experience,Positive,2,High,Large
2,14,App_14,Entertainment,1,Slow app with terrible problems!,6,23,326.7,0,1.1,2024-11-15,5557,0.2608695652173913,1,32,5,slow app with terrible problems,Negative,2,Low,Large
3,1,App_1,Productivity,5,"Love this app, very fantastic and awesome!",4,7,478.8,0,1.0,2024-12-20,2584,0.5714285714285714,1,42,7,love this app very fantastic and awesome,Positive,3,High,Large
4,23,App_23,Travel,3,"Normal performance, okay user experience.",14,18,66.8,2.99,1.0,2024-09-23,5803,0.7777777777777778,0,41,5,normal performance okay user experience,Neutral,0,Medium,Medium
5,40,App_40,Education,5,Brilliant app with love features!,2,2,332.3,0.99,1.0,2025-03-05,2654,1.0,0,33,5,brilliant app with love features,Positive,2,High,Large
6,30,App_30,Education,3,"Pretty average app, normal overall.",6,22,137.2,2.99,1.0,2024-08-25,3803,0.2727272727272727,0,35,5,pretty average app normal overall,Neutral,0,Medium,Medium
7,16,App_16,Productivity,4,"Love this app, very wonderful and fantastic!",20,23,280.7,0.99,1.0,2025-03-07,1525,0.8695652173913043,0,44,7,love this app very wonderful and fantastic,Positive,3,High,Large
8,26,App_26,Business,5,Amazing app with love features!,10,7,329.4,0,2.0,2025-04-20,5339,1.4285714285714286,1,31,5,amazing app with love features,Positive,2,High,Large
9,48,App_48,News,2,Slow app with horrible problems!,18,14,449.4,0,1.1,2025-04-23,9348,1.2857142857142858,1,32,5,slow app with horrible problems,Negative,2,Low,Large
10,49,App_49,Games,4,Amazing app with excellent features!,5,26,341.8,0,2.0,2024-12-19,8668,0.19230769230769232,1,36,5,amazing app with excellent features,Positive,2,High,Large
11,36,App_36,Games,4,"Love this app, very amazing and outstanding!",20,11,60.2,0,2.0,2025-07-01,5315,1.8181818181818181,1,44,7,love this app very amazing and outstanding,Positive,3,High,Medium
12,49,App_49,Productivity,5,Outstanding app with amazing features!,9,27,321.3,0.99,1.1,2024-12-23,3646,0.3333333333333333,0,38,5,outstanding app with amazing features,Positive,2,High,Large
13,50,App_50,News,4,"Love this app, very great and awesome!",0,4,464.9,1.99,1.2,2025-03-02,1949,0.0,0,38,7,love this app very great and awesome,Positive,3,High,Large
14,37,App_37,Social,3,"The app is okay, nothing special. Just fine.",17,25,67.3,0.99,2.1,2025-04-09,5342,0.68,0,44,8,the app is okay nothing special just fine,Neutral,0,Medium,Medium
15,39,App_39,Health & Fitness,4,Love app with outstanding features!,6,23,159.3,4.99,1.2,2024-11-20,9479,0.2608695652173913,0,35,5,love app with outstanding features,Positive,2,High,Large
16,16,App_16,Entertainment,4,This app is amazing! Really awesome experience.,18,18,118.9,0,1.0,2024-07-05,1964,1.0,1,47,7,this app is amazing really awesome experience,Positive,2,High,Medium
17,3,App_3,Education,3,"The app is okay, nothing special. Just decent.",8,22,245.3,0,2.1,2024-09-10,8744,0.36363636363636365,1,46,8,the app is okay nothing special just decent,Neutral,0,Medium,Large
